"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5697",12.8457529693812,-2.95631022217235,0.694423705826334,-4.2572138557028,2.06990335066519e-05,0.000110514744983646
"5698",21.7858814036736,-1.57061361103315,0.368933838405544,-4.25716875909517,2.07032077455372e-05,0.000110517632501931
"5699",5.97055507459697,-4.27627812775816,1.00457373750465,-4.25680860260231,2.07365733760567e-05,0.000110676320824621
"5700",4.65311588775995,-3.20536196437599,0.753019892487181,-4.25667634594469,2.07488387492332e-05,0.000110722355830776
"5701",35.4870889949445,-0.963093141342709,0.226260204970709,-4.25657327353428,2.07584023882351e-05,0.000110753959909305
"5702",98.6390408709586,-1.74471777154167,0.409905747243369,-4.2563876775941,2.0775633608628e-05,0.000110826455186538
"5703",526.687165699695,0.988846679190735,0.232346609552554,4.25591180820338,2.08198768312289e-05,0.000111042993788443
"5704",304.33072597469,-1.61847861328355,0.380293596316357,-4.25586607021691,2.08241339720353e-05,0.000111046227739726
"5705",3.60979735575513,-3.20595234078473,0.753463265278744,-4.25495507017013,2.09090996941662e-05,0.000111478312292539
"5706",10.0392578814779,-2.92689567932192,0.687885205823107,-4.25491877793719,2.09124913680253e-05,0.000111478312292539
"5707",1136.18306274774,-2.02142318895022,0.475086391978072,-4.25485390253721,2.09185555736207e-05,0.000111491099506364
"5708",361.71622856614,-2.94351664940359,0.691830173104081,-4.25468093737039,2.09347316158852e-05,0.000111557766566289
"5709",1671.98855574064,-1.36454981626758,0.320730519491685,-4.25450567794487,2.09511343682719e-05,0.000111625618160751
"5710",9.05997296361706,-5.37682784602801,1.26382212102188,-4.25441821012003,2.09593251695133e-05,0.000111649701170068
"5711",4.92822347717446,-4.02585564900346,0.946585925953583,-4.25302715646003,2.10899989169404e-05,0.000112326124506492
"5712",9.88405306351663,-6.19913290387969,1.45762426937743,-4.25290181709682,2.11018111469819e-05,0.00011236936093448
"5713",19.1789377164592,-1.5880085910504,0.373399511699513,-4.25284056699122,2.1107585769067e-05,0.000112380436957415
"5714",11.6779354930093,-6.21356427966869,1.46133654606567,-4.25197350767511,2.11894931448882e-05,0.000112796782112017
"5715",474.667538643509,0.76512728155077,0.179967868179288,4.25146604942017,2.1237570824264e-05,0.000113032929442107
"5716",1581.12937813957,1.1276905730455,0.265260418186178,4.2512583700068,2.12572767471913e-05,0.000113118017288194
"5717",15.8983831888599,-1.74345470632251,0.410113254163072,-4.25115425708545,2.12671621822356e-05,0.000113150825974647
"5718",12.3427786766203,-6.05134402008636,1.42347287710763,-4.25111297686413,2.12710829162923e-05,0.000113151893855345
"5719",25.7665517839757,-1.50814091513376,0.354771159193107,-4.25102457190682,2.12794818026094e-05,0.00011317677880573
"5720",2880.30618275245,-0.87212132127641,0.205187484126181,-4.25036314953838,2.13424202805411e-05,0.000113491677914898
"5721",4.42898530974259,2.02372592165573,0.476173269153434,4.24997800748793,2.1379150553342e-05,0.000113667125044748
"5722",69.3680849127667,2.12274623340693,0.499490165804865,4.24982587992777,2.13936752447613e-05,0.000113724470450875
"5723",78.4874249751631,-2.34207087177189,0.55111087318487,-4.24972720686322,2.14031012803663e-05,0.000113754697124743
"5724",87.137999983001,-1.59067532310573,0.374310969740985,-4.24960915306981,2.14143839119278e-05,0.000113776386601383
"5725",6.09382159775705,-3.72746411279289,0.877131647152172,-4.24960623059837,2.14146632900325e-05,0.000113776386601383
"5726",2884.95206073101,-1.01597553882868,0.23910012502198,-4.24916356164717,2.14570209920387e-05,0.000113981524190507
"5727",18.1201858147163,-3.526375789173,0.830013281816791,-4.24857754258368,2.15132181399459e-05,0.000114260093620174
"5728",17.0954758554725,-3.76606387299953,0.886714419001973,-4.24721172036242,2.1644739955723e-05,0.000114938557128706
"5729",13.2850136764382,-2.7429585756687,0.645860699513548,-4.24698170632561,2.16669643172725e-05,0.000115036490423892
"5730",27.8956207631585,-2.12289486661955,0.499952079887838,-4.24619668968236,2.17429776970549e-05,0.000115419921921696
"5731",1353.78110583468,0.745686412283778,0.175616082973172,4.24611686845159,2.17507210109939e-05,0.000115440879600664
"5732",30.1419363117343,-1.61928400003774,0.381387322692328,-4.24577300736355,2.17841083769735e-05,0.000115597910764551
"5733",6.92320079652572,-4.72565723871077,1.11304010013476,-4.24572056131546,2.17892049381629e-05,0.000115604787476732
"5734",4.38541876163735,3.88842527880347,0.9158922003238,4.24550539619048,2.18101259694144e-05,0.000115695605443264
"5735",45.2166356245025,2.66920770404348,0.628741189235205,4.24532025218561,2.18281432774561e-05,0.000115770991119509
"5736",1342.21695107949,4.08242684330947,0.961699519572233,4.24501287587764,2.18580869241301e-05,0.000115909593788575
"5737",617.45747171579,0.768268868559625,0.180984531854549,4.24494215437736,2.18649819241244e-05,0.000115925946520148
"5738",3287.63614739207,1.42031158933478,0.334598781253144,4.24481997219299,2.18768989671383e-05,0.000115968915281186
"5739",596.356674239733,1.207735389762,0.284543272451627,4.24447002157579,2.19110656330975e-05,0.000116129793232606
"5740",23.1003629770419,-2.06850741599177,0.48734771168492,-4.2444180333591,2.19161457205055e-05,0.00011613648159941
"5741",2828.93564594534,-1.69536884168577,0.399444923097405,-4.24431190297629,2.19265198515471e-05,0.000116171216569327
"5742",693.446617849044,-1.08166856342381,0.254873326249925,-4.24394572527036,2.19623492261592e-05,0.000116340783074205
"5743",7.58927140713093,-6.10001636414639,1.43743904674656,-4.24366958581854,2.19894054825949e-05,0.00011646382492845
"5744",6.32233460379095,-3.5836381765467,0.844531886557497,-4.24334265359052,2.20214794527879e-05,0.000116613087641112
"5745",104.275894166656,-3.03249663212095,0.714654545520072,-4.24330419659492,2.20252552354994e-05,0.000116613087641112
"5746",87.2766500233072,-0.755280290196204,0.178005614975809,-4.24301385267452,2.20537816614674e-05,0.000116743800347521
"5747",2.98848326294796,-4.6207887009157,1.08905086191783,-4.24295031802137,2.20600286587706e-05,0.000116756549802301
"5748",9.62167865038216,-6.43153233121626,1.5158309327294,-4.24290875212294,2.20641165060329e-05,0.000116757869130829
"5749",8.70060738341782,-4.53703482603791,1.06935757939361,-4.24276679145125,2.20780832325164e-05,0.000116811455502427
"5750",7.03995813051267,-2.54404626540571,0.599642105047321,-4.24260778886591,2.20937366096548e-05,0.000116860545547925
"5751",491.430824430576,1.56405048446966,0.368654247978891,4.24259449889538,2.20950454497853e-05,0.000116860545547925
"5752",1970.72438267394,0.8246728000828,0.194410760901714,4.24190922486908,2.21626335966706e-05,0.00011717467237653
"5753",19.1330317224666,-3.48399827866893,0.821330341818409,-4.24189647122427,2.21638933439628e-05,0.00011717467237653
"5754",7.40648371812492,-4.16862433236775,0.982731489833129,-4.24187519733961,2.2165994833631e-05,0.00011717467237653
"5755",724.983852339705,-1.30815486694962,0.308441542194767,-4.24117600256186,2.22351687541404e-05,0.000117519917983438
"5756",11.7625322780747,-5.00254000486853,1.17971864468116,-4.24045176146262,2.23070372105377e-05,0.000117879282632544
"5757",35.0278999882249,-2.44204838416699,0.575902081389138,-4.24038818938891,2.23133561881605e-05,0.000117892193012902
"5758",6.86154249906934,-3.42576917728484,0.807935051830281,-4.24015416774426,2.233663230347e-05,0.000117994676063676
"5759",1043.18224281096,0.651959211254558,0.153765425784149,4.2399597174059,2.2355990178513e-05,0.000118076428765381
"5760",178.706318674344,-0.955917637939014,0.225462085549832,-4.23981546878638,2.23703606983601e-05,0.000118131816208684
"5761",83.2615820907014,-1.87304632182705,0.441825381270014,-4.23933617494548,2.24181726847812e-05,0.000118349221518061
"5762",565.929124123286,-1.26461759807735,0.298306373797586,-4.23932476526784,2.24193120421825e-05,0.000118349221518061
"5763",1869.52095370749,0.971487357504529,0.229174565819398,4.23907144333858,2.24446226810379e-05,0.00011846227452527
"5764",6.38496587166695,-3.59091953538455,0.847225102104864,-4.23844799506434,2.25070303410169e-05,0.00011877105167986
"5765",1344.49874326588,1.31653512267905,0.310621443193391,4.23839097888483,2.25127459401875e-05,0.000118780605943223
